day	downloads
2013-11-19	46323
2013-11-20	47181
2013-11-21	46925
2013-11-22	43970
2013-11-23	22237
2013-11-24	19578
2013-11-25	46817
2013-11-26	56019
2013-11-27	53988
2013-11-28	40123
2013-11-29	32227
2013-11-30	17760
2013-12-01	18606
2013-12-02	46259
2013-12-03	54430
2013-12-04	56474
2013-12-05	57654
2013-12-06	52915
2013-12-07	22886
2013-12-08	21396
2013-12-09	60135
2013-12-10	68436
2013-12-11	66873
2013-12-12	63024
2013-12-13	49785
2013-12-14	20831
2013-12-15	18907
2013-12-16	50345
2013-12-17	58404
2013-12-18	59022
2013-12-19	29885
2013-12-20	23086
2013-12-21	9364
2013-12-22	8013
2013-12-23	14554
2013-12-24	16326
2013-12-25	1832
2013-12-26	3237
2013-12-27	15803
2013-12-28	7905
2013-12-29	7863
2013-12-30	15359
2013-12-31	10079
2014-01-01	7740
2014-01-02	19380
2014-01-03	17220
2014-01-04	22950
2014-01-05	21733
2014-01-06	46444
2014-01-07	55810
2014-01-08	39069
2014-01-09	3
2014-01-10	3
2014-01-11	138
2014-01-12	340
2014-01-13	4
2014-01-14	3
2014-01-15	178
2014-01-16	25008
2014-01-17	57167
2014-01-18	26524
2014-01-19	26383
2014-01-20	54476
2014-01-21	65922
2014-01-22	66946
2014-01-23	64214
2014-01-24	60386
2014-01-25	29245
2014-01-26	29375
2014-01-27	60697
2014-01-28	63025
2014-01-29	65378
2014-01-30	58863
2014-01-31	53950
2014-02-01	27602
2014-02-02	24072
2014-02-03	53763
2014-02-04	61792
2014-02-05	61282
2014-02-06	69289
2014-02-07	62019
2014-02-08	32863
2014-02-09	29644
2014-02-10	65423
2014-02-11	77744
2014-02-12	73045
2014-02-13	70842
2014-02-14	64433
2014-02-15	33430
2014-02-16	30493
2014-02-17	63328
2014-02-18	70120
2014-02-19	72453
2014-02-20	12852
2014-02-27	17428
2014-02-28	50623
2014-03-01	32687
2014-03-02	30252
2014-03-03	44107
2014-03-04	68164
2014-03-05	68694
2014-03-06	76281
2014-03-07	64901
2014-03-08	31157
2014-03-09	26016
2014-03-10	62095
2014-03-11	68162
2014-03-12	68620
2014-03-13	69333
2014-03-14	27672
2014-03-15	14411
2014-03-16	12972
2014-03-17	32908
2014-03-18	49791
2014-03-19	67349
2014-03-20	71035
2014-03-21	61550
2014-03-22	28588
2014-03-23	28051
2014-03-24	65166
2014-03-25	72324
2014-03-26	69595
2014-03-27	59509
2014-03-28	64665
2014-03-29	31437
2014-03-30	27714
2014-03-31	65712
2014-04-01	64426
2014-04-02	69802
2014-04-03	73769
2014-04-04	64360
2014-04-05	27763
2014-04-06	26852
2014-04-07	60257
2014-04-08	71548
2014-04-09	81183
2014-04-10	79977
2014-04-11	75390
2014-04-12	30818
2014-04-13	28202
2014-04-14	78953
2014-04-15	84983
2014-04-16	81649
2014-04-17	70012
2014-04-18	54267
2014-04-19	27876
2014-04-20	23893
2014-04-21	57249
2014-04-22	76439
2014-04-23	76594
2014-04-24	78827
2014-04-25	69631
2014-04-26	29002
2014-04-27	28481
2014-04-28	74030
2014-04-29	76307
2014-04-30	72997
2014-05-01	66025
2014-05-02	64036
2014-05-03	29557
2014-05-04	28970
2014-05-05	68416
2014-05-06	90018
2014-05-07	107171
2014-05-08	104580
2014-05-09	85678
2014-05-10	39234
2014-05-11	34585
2014-05-12	86873
2014-05-13	89248
2014-05-14	81172
2014-05-15	88255
2014-05-16	77554
2014-05-17	37370
2014-05-18	37009
2014-05-19	79601
2014-05-20	90641
2014-05-21	93547
2014-05-22	87224
2014-05-23	82078
2014-05-24	43010
2014-05-25	33102
2014-05-26	64817
2014-05-27	88746
2014-05-28	86854
2014-05-29	93567
2014-05-30	89106
2014-05-31	39327
2014-06-01	39940
2014-06-02	81900
2014-06-03	94429
2014-06-04	92362
2014-06-05	97640
2014-06-06	91113
2014-06-07	36616
