day	downloads
2013-11-19	33316
2013-11-20	31456
2013-11-21	30258
2013-11-22	29191
2013-11-23	18788
2013-11-24	15876
2013-11-25	32688
2013-11-26	35848
2013-11-27	30912
2013-11-28	30434
2013-11-29	24285
2013-11-30	15747
2013-12-01	16875
2013-12-02	34130
2013-12-03	34708
2013-12-04	33732
2013-12-05	30434
2013-12-06	28357
2013-12-07	18014
2013-12-08	19892
2013-12-09	31573
2013-12-10	33332
2013-12-11	38172
2013-12-12	36599
2013-12-13	31176
2013-12-14	17185
2013-12-15	16082
2013-12-16	30815
2013-12-17	31665
2013-12-18	32932
2013-12-19	16777
2013-12-20	12325
2013-12-21	6831
2013-12-22	6111
2013-12-23	9425
2013-12-24	10489
2013-12-25	1603
2013-12-26	2020
2013-12-27	9741
2013-12-28	5342
2013-12-29	5750
2013-12-30	9437
2013-12-31	6107
2014-01-01	5852
2014-01-02	9941
2014-01-03	9286
2014-01-04	15951
2014-01-05	14642
2014-01-06	26295
2014-01-07	29314
2014-01-08	21914
2014-01-09	1016
2014-01-10	10115
2014-01-11	110
2014-01-13	1
2014-01-14	7
2014-01-15	155
2014-01-16	14572
2014-01-17	32573
2014-01-18	18224
2014-01-19	18154
2014-01-20	33662
2014-01-21	38584
2014-01-22	37887
2014-01-23	37341
2014-01-24	33821
2014-01-25	20231
2014-01-26	20556
2014-01-27	37227
2014-01-28	36250
2014-01-29	35757
2014-01-30	32594
2014-01-31	27779
2014-02-01	17132
2014-02-02	15444
2014-02-03	29476
2014-02-04	36125
2014-02-05	37529
2014-02-06	43130
2014-02-07	36669
2014-02-08	24600
2014-02-09	24142
2014-02-10	38023
2014-02-11	41147
2014-02-12	38720
2014-02-13	39103
2014-02-14	34614
2014-02-15	23551
2014-02-16	21634
2014-02-17	35042
2014-02-18	38477
2014-02-19	41830
2014-02-20	8192
2014-02-27	7999
2014-02-28	25067
2014-03-01	19897
2014-03-02	20652
2014-03-03	25236
2014-03-04	37494
2014-03-05	41060
2014-03-06	40264
2014-03-07	37706
2014-03-08	18258
2014-03-09	16452
2014-03-10	32694
2014-03-11	35428
2014-03-12	34642
2014-03-13	33533
2014-03-14	11704
2014-03-15	6383
2014-03-16	6872
2014-03-17	14867
2014-03-18	23235
2014-03-19	33032
2014-03-20	35256
2014-03-21	32980
2014-03-22	16778
2014-03-23	16813
2014-03-24	34617
2014-03-25	37416
2014-03-26	35553
2014-03-27	29717
2014-03-28	31595
2014-03-29	16539
2014-03-30	16001
2014-03-31	31424
2014-04-01	30897
2014-04-02	32336
2014-04-03	33740
2014-04-04	31543
2014-04-05	18011
2014-04-06	15874
2014-04-07	29986
2014-04-08	33598
2014-04-09	37309
2014-04-10	36973
2014-04-11	36384
2014-04-12	18289
2014-04-13	18590
2014-04-14	35856
2014-04-15	39452
2014-04-16	37535
2014-04-17	36624
2014-04-18	30198
2014-04-19	15518
2014-04-20	15300
2014-04-21	31040
2014-04-22	38333
2014-04-23	38963
2014-04-24	39947
2014-04-25	39621
2014-04-26	18440
2014-04-27	17784
2014-04-28	42429
2014-04-29	42286
2014-04-30	40172
2014-05-01	35926
2014-05-02	35783
2014-05-03	19716
2014-05-04	18112
2014-05-05	38388
2014-05-06	47495
2014-05-07	46931
2014-05-08	53855
2014-05-09	47523
2014-05-10	22486
2014-05-11	18952
2014-05-12	44875
2014-05-13	46092
2014-05-14	41489
2014-05-15	44524
2014-05-16	36391
2014-05-17	18458
2014-05-18	18698
2014-05-19	35393
2014-05-20	39312
2014-05-21	42762
2014-05-22	40698
2014-05-23	37109
2014-05-24	19931
2014-05-25	18062
2014-05-26	32802
2014-05-27	42602
2014-05-28	42350
2014-05-29	47511
2014-05-30	43011
2014-05-31	21977
2014-06-01	18562
2014-06-02	38502
2014-06-03	48550
2014-06-04	45855
2014-06-05	48356
2014-06-06	43896
2014-06-07	19081
2014-06-08	17712
2014-06-09	42058
2014-06-10	50637
2014-06-11	48082
2014-06-12	50793
2014-06-13	46511
2014-06-14	21504
2014-06-15	18776
2014-06-16	47075
2014-06-17	49118
2014-06-18	44610
2014-06-19	45008
2014-06-20	47311
2014-06-21	20902
2014-06-22	20398
2014-06-23	41333
2014-06-24	50078
2014-06-25	44816
2014-06-26	45083
2014-06-27	48369
2014-06-28	19855
2014-06-29	21042
2014-06-30	43494
2014-07-01	50166
2014-07-02	51063
2014-07-03	53859
2014-07-04	46907
2014-07-05	28847
2014-07-06	27050
2014-07-07	55583
2014-07-08	59523
2014-07-09	52454
2014-07-10	59583
2014-07-11	56296
2014-07-12	28928
2014-07-13	32501
2014-07-14	46175
2014-07-15	59318
2014-07-16	47394
2014-07-17	47469
2014-07-18	41876
2014-07-19	21671
2014-07-20	13359
2014-07-21	45741
2014-07-22	46261
2014-07-23	49415
2014-07-24	43544
2014-07-25	41423
2014-07-26	28294
2014-07-27	24234
2014-07-28	44615
2014-07-29	49077
2014-07-30	44431
2014-07-31	46869
2014-08-01	43802
2014-08-02	21233
2014-08-03	21000
2014-08-04	50280
2014-08-05	52266
2014-08-06	60368
2014-08-07	56120
2014-08-08	49962
2014-08-09	25214
2014-08-10	23575
2014-08-11	56984
2014-08-12	55661
2014-08-13	52392
2014-08-14	52256
2014-08-15	49466
2014-08-16	23517
2014-08-17	22456
2014-08-18	51088
2014-08-19	58930
2014-08-20	48158
2014-08-21	46711
2014-08-22	51999
2014-08-23	22478
2014-08-24	23853
2014-08-25	45608
2014-08-26	54867
